Image_IR_#,Species_given_name,Species_code,Species_latin_name_or_taxa,Order,Familly,length_mm,width_mm,height_mm,mm/dd/yy,Local_hour,Tbody_C,Tleaf_C,Tbody-Tleaf
8215,Brown leafhopper,lhopb,Unidentified,Hemiptera,Cicadellidae,2.789,0.881,0.441,6/19/2019,11:50,18.4,16.4,2
8219,Hoary plume moth (adult),moth,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,13.7,na,4.8,6/19/2019,11:58,15.8,12.5,3.3
3154,Hoary plume moth (adult),moth,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,8.6,1.3,na,6/21/2019,13:57,26.3,23.5,2.8
8216,Grasshooper,orth1,Unidentified,Orthoptera,Unidentified,7.9,na,2.4,6/19/2019,11:52,21.9,15.1,6.8
8374,Grasshooper,orth1,Unidentified,Orthoptera,Unidentified,7.9,na,2.4,6/20/2019,18:14,32.5,26.3,6.2
3024,Longhorn beetle,slb,Unidentified,Coleoptera,Unidentified,10,2.2,5.046,6/21/2019,10:52,28.2,21.9,6.3
8478,Caterpillar,tier,Unidentified,Lepidoptera ,Unidentified,6.3,na,1.1,6/21/2019,14:45,29.7,28.1,1.6
8204,Fly,fly2,Unidentified,Diptera,Unidentified,3.643333333,1.966666667,0.729,6/19/2019,11:15,14,12.4,1.6
8214,Fly,Teph ,Unidentified,Diptera,Tephritidae,3.229,na,1.289,6/19/2019,11:47,23.1,20.5,2.6
2743,Fly,Cono,Unidentified,Diptera,Conopidae,6,na,1.6,6/20/2019,18:03,27.2,24.2,3
2761,Black fly,blfly,Unidentified,Diptera,Tephritidae,3.643333333,1.966666667,0.729,6/20/2019,18:23,13.9,14.2,-0.3
2767,Black fly,blfly,Unidentified,Diptera,Tephritidae,3.643333333,1.966666667,0.729,6/20/2019,18:31,16.2,15.4,0.8
8474,Black fly,blfly,Unidentified,Diptera,Tephritidae,3.643333333,1.966666667,0.729,6/21/2019,14:30,28.5,24.9,3.6
8477,Black fly,blfly,Unidentified,Diptera,Tephritidae,3.643333333,1.966666667,0.729,6/21/2019,14:41,34.3,32.9,1.4
8483,Grasshooper,grass,Unidentified,Orthoptera,Unidentified,7.1,na,2.6,6/21/2019,14:55,32.2,26.3,5.9
8491,Grasshooper,grass,Unidentified,Orthoptera,Unidentified,7.1,na,2.6,6/21/2019,15:19,35,28,7
8492,Grasshooper,grass,Unidentified,Orthoptera,Unidentified,7.1,na,2.6,6/21/2019,15:19,34.1,27.3,6.8
3173,Fly,Cono,Unidentified,Diptera,Conopidae,6,na,1.6,6/21/2019,14:59,26.2,23,3.2
3185,Grasshooper,grass,Unidentified,Orthoptera,Unidentified,7.1,na,2.6,6/21/2019,15:18,30.9,24.7,6.2
3189,Black fly,blfly,Unidentified,Diptera,Tephritidae,3.643333333,1.966666667,0.729,6/21/2019,15:26,19.6,17.8,1.8
3700,Fly,Cono,Unidentified,Diptera,Conopidae,6,na,1.6,6/23/2019,9:45,22.9,19.2,3.7
