"initial_name","genus","species","scientificName","kingdom","phylum","class","order","family","db","db_code","MeasureType","Measurement","Units","Field","Code","MeasurementSource"
"Sylvilagus audubonii","Sylvilagus","audubonii","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436910","AgeAtMaturity",90.7,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Sylvilagus audubonii","Sylvilagus","audubonii","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436910","GenerationLength",926.792,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Sylvilagus audubonii","Sylvilagus","audubonii","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436910","AgeAtMaturity",107,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Sylvilagus audubonii","Sylvilagus","audubonii","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436910","AgeAtMaturity",164,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Sylvilagus audubonii","Sylvilagus","audubonii","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436910","AgeAtMaturity",164,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Sylvilagus audubonii","Sylvilagus","audubonii","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436910","AgeAtMaturity",107,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Sylvilagus bachmani","Sylvilagus","bachmani","Sylvilagus bachmani","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436846","GenerationLength",969.8600667,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Sylvilagus bachmani","Sylvilagus","bachmani","Sylvilagus bachmani","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436846","AgeAtMaturity",154,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Sylvilagus bachmani","Sylvilagus","bachmani","Sylvilagus bachmani","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436846","AgeAtMaturity",154.31052,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Tadarida brasiliensis","Tadarida","brasiliensis","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","gbif","GBIF:2433011","AgeAtMaturity",400.26,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Tadarida brasiliensis","Tadarida","brasiliensis","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","gbif","GBIF:2433011","GenerationLength",1821.51315,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Tadarida brasiliensis","Tadarida","brasiliensis","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","gbif","GBIF:2433011","AgeAtMaturity",547,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Tadarida brasiliensis","Tadarida","brasiliensis","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","gbif","GBIF:2433011","AgeAtMaturity",273,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Tadarida brasiliensis","Tadarida","brasiliensis","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","gbif","GBIF:2433011","AgeAtMaturity",336.63,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Tadarida brasiliensis","Tadarida","brasiliensis","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","gbif","GBIF:2433011","AgeAtMaturity",547,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Thomomys idahoensis","Thomomys","idahoensis","Thomomys idahoensis","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","gbif","GBIF:2439384","GenerationLength",608.8612,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Thomomys idahoensis","Thomomys","idahoensis","Thomomys idahoensis","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","gbif","GBIF:2439384","AgeAtMaturity",294.0206,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Thomomys mazama","Thomomys","mazama","Thomomys mazama","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","gbif","GBIF:2439389","GenerationLength",608.8612,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Thomomys mazama","Thomomys","mazama","Thomomys mazama","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","gbif","GBIF:2439389","AgeAtMaturity",393.5,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Tyrannus vociferans","Tyrannus","vociferans","Tyrannus vociferans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:5229681",NA,NA,NA,NA,NA,NA
"Urocitellus elegans","Urocitellus","elegans","Urocitellus elegans","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:7404826",NA,NA,NA,NA,NA,NA
"Uta stansburiana","Uta","stansburiana","Uta stansburiana","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451029","AgeAtMaturity",9,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Uta stansburiana","Uta","stansburiana","Uta stansburiana","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451029","AgeAtMaturity",12,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Vireo bellii","Vireo","bellii","Vireo bellii","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif","GBIF:2487441","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Vireo bellii","Vireo","bellii","Vireo bellii","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif","GBIF:2487441","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Vireo bellii","Vireo","bellii","Vireo bellii","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif","GBIF:2487441","AgeAtMaturity",364.234,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Vireo bellii","Vireo","bellii","Vireo bellii","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif","GBIF:2487441","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Virginia valeriae","Virginia","valeriae","Virginia valeriae","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5224262",NA,NA,NA,NA,NA,NA
